name,dedication
Библиотека-репозиторий (Никольская) МЦБС им. М.Ю. Лермонтова,им. М. Ю. Лермонтова
Библиотека для детей им. В. П. Астафьева г. Барыша,им. В. П. Астафьева
Центральная библиотека им. А. С. Пушкина г. Воркуты,им. А. С. Пушкина
Центральная районная библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Ромодановская центральная районная библиотека им. Н. Эркая,им. Н. Эркая
Центральная модельная библиотека им. М. Ю. Лермонтова г. Ефремов,им. М. Ю. Лермонтова
Библиотека им. А. И. Люкина Московского района Нижнего Новгорода,им. А. И. Люкина
Центральная городская библиотека им. Н. Байтерякова,им. Н. Байтерякова
Холмогорская районная библиотека им. М. В. Ломоносова,им. М. В. Ломоносова
Иванцевская библиотека-филиал им. А. М. Бастракова,им. А. М. Бастракова
Межпоселенческая библиотека Касторенского района им. В. Г. Гордейчева,им. В. Г. Гордейчева
Усть-Телесская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Советская центральная библиотека им. А. С. Крупнякова,им. А. С. Крупнякова
Детская библиотека № 8 им. П. П. Бажова,им. П. П. Бажова
Центральная библиотека им. Ф. Г. Сухова,им. Ф. Г. Сухова
Библиотека № 19 им. А. Т. Прасолова,им. А. Т. Прасолова
Камчатская краевая детская библиотека им. В. Кручины,им. В. Кручины
Центральная городская библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Ичалковская сельская библиотека им. В. В. Кованова,им. В. В. Кованова
Библиотека № 7 им. А. П. Чехова г. Перми,им. А. П. Чехова
Центральная городская библиотека им. А. С. Пушкина г. Кострома,им. А. С. Пушкина
Неволинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 2 им. А. А. Гришина,им. А. А. Гришина
Центральная районная библиотека им. 1 Мая,им. 1 Мая
Детская библиотека № 16 им. Аллы Стародубовой,им. А. Стародубовой
Городская библиотека им. Ф. Н. Слепушкина,им. Ф. Н. Слепушкина
Центральная детская библиотека № 46 им. И. З. Сурикова – филиал № 3,им. И. З. Сурикова
Немская центральная библиотека им. М. И. Ожегова,им. М. И. Ожегова
Библиотека-филиал № 2 им. Е. И. Носова г. Курска,им. Е. И. Носова
Костромская областная библиотека для детей и молодежи им. А. Гайдара на ул. Симановского,им. А. П. Гайдара
Центральная районная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Новоусманская детская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная библиотека им. Н. Рубцова,им. Н. М. Рубцова
Национальная детская библиотека Республики Коми им. С. Я. Маршака,им. С. Я. Маршака
Библиотека-филиал № 24 им. В. М. Шукшина,им. В. М. Шукшина
Красноярская городская детская библиотека им. М. Пришвина,им. М. М. Пришвина
Межпоселенческая детская библиотека им. А. Л. Барто г. Иланского,им. А. Л. Барто
Библиотека им. А. А. Блока г. Новосибирска,им. А. А. Блока
Детская библиотека № 8 им. Н. Островского,им. Н. А. Островского
Красноярская городская библиотека им. Я. Свердлова,им. Я. Свердлова
Турочакская центральная библиотека им. В. М. Башунова,им. В. М. Башунова
Юношеская модельная библиотека им. А. С. Васильева № 1,им. А. С. Васильева
Библиотека № 3 им. Б. Л. Васильева г. Смоленска,им. Б. Л. Васильева
Центральная детская библиотека им. А. Г. Казаковой пгт. Емельяново,им. А. Г. Казаковой
Библиотека-филиал № 21 им. А. И. Куприна,им. А. И. Куприна
Октябрьская сельская библиотека-филиал им. И. А. Наговицына,им. И. А. Наговицына
Библиотека им. С. Есенина г. Азова,им. С. А. Есенина
Городская библиотека – филиал № 1 им. М. Бурангулова,им. М. Бурангулова
Центральная районная библиотека им. К. Мечиева,им. К. Мечиева
Центральная районная детская библиотека им. И. Крылова г. Нижнего Новгорода,им. И. А. Крылова
Библиотека № 44 им. В. Г. Короленко (филиал № 1),им. В. Г. Короленко
Детская библиотека № 6 им. В. Г. Короленко,им. В. Г. Короленко
Библиотека № 21 им. В. И. Балябина г. Читы,им. В. И. Балябина
Канашская сельская библиотека им. А. П. Воложаниной,им. А. П. Воложаниной
Библиотека № 10 им. А. П. Гайдара,им. А. П. Гайдара
Ставропольская краевая детская библиотека им. А. Е. Екимцева,им. А. Е. Екимцева
Межпоселенческая центральная библиотека им. Александра Кердана г. Коркино,им. А. Кердана
Красноярская городская библиотека им. А. Серафимовича,им. А. С. Серафимовича
Библиотека семейного чтения им. А. С. Неверова,им. А. С. Неверова
Красноярская городская детская библиотека им. Б. Житкова,им. Б. Житкова
Библиотека № 13 им. В. А. Вонлярлярского,им. В. А. Вонлярлярского
Центральная детская библиотека им. Гагарина г. Орска,им. Ю. А. Гагарина
Центральная районная библиотека им. В. Г. Короленко,им. В. Г. Короленко
Красноярская городская детская библиотека им. А. Грина,им. А. С. Грина
Геленджикский филиал Краснодарской библиотеки для слепых им. А. П. Чехова,им. А. П. Чехова
Библиотека им. Ф. Г. Кедрова г. Ижевска,им. Ф. Г. Кедрова
Константиновская районная библиотека им. Ф. П. Крюкова,им. Ф. П. Крюкова
Центральная районная библиотека им. Г. Н. Потанина,им. Г. Н. Потанина
Библиотека им. В. Дубинина,им. В. Дубинина
"Библиотека им. В. М. Комарова, филиал № 6",им. В. М. Комарова
Читальный зал периодики Архангельской областной научной библиотеки им. Н. А. Добролюбова,им. Н. А. Добролюбова
Белгородская государственная специальная библиотека для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Библиотека-филиал № 11 им. Н. Ю. Корнеева г. Курска,им. Н. Ю. Корнеева
Центральная библиотека им. А. Е. Ванеева с. Кослан,им. А. Е. Ванеева
Библиотека семейного чтения им. А. Г. Николаева г. Новочебоксарска,им. А. Г. Николаева
Староюрьевская районная библиотека им. Ю. А. Ознобишина,им. Ю. А. Ознобишина
Воронежская областная универсальная научная библиотека им. И. С. Никитина на площади Ленина,им. И. С. Никитина
Центральная детская библиотека им. П. П. Бажова,им. П. П. Бажова
Центральная городская библиотека для молодежи им. А. А. Фета,им. А. А. Фета
Национальная библиотека Республики Дагестан им. Р. Гамзатова,им. Р. Гамзатова
Центральная городская детская библиотека им. С. Я. Маршака,им. С. Я. Маршака
Центральная районная библиотека им. В. Н. Ганичева,им. В. Н. Ганичева
Специализированная детская библиотека № 25 им. Б. В. Аржанцева,им. Б. В. Аржанцева
Верхнеуральская городская библиотека им. П. М. Кудряшева,им. П. М. Кудряшева
Усть-Канская центральная модельная библиотека им. А. Г. Калкина,им. А. Г. Калкина
Библиотека № 6 библиотечно-информационного центра им. П. П. Семенова-Тян-Шанского,им. П. П. Семенова-Тян-Шанского
