name,dedication
Центральная детская библиотека им. В. П. Крапивина г. Тюмени,им. В. П. Крапивина
Городская библиотека им. В. А. Чивилихина,им. В. А. Чивилихина
Славянская межпоселенческая центральная библиотека им. Н. Я. Данилевского,им. Н. Я. Данилевского
Центральная районная библиотека им. Б. А. Можаева,им. Б. А. Можаева
Центральная городская библиотека им. В. И. Муравленко,им. В. И. Муравленко
Городская библиотека № 7 им. А. И. Куприна г. Пензы,им. А. И. Куприна
Библиотека им. Н. А. Некрасова г. Алдана,им. Н. А. Некрасова
Городская библиотека им. А. П. Чехова,им. А. П. Чехова
Микуньская библиотека им. Б. А. Старчикова,им. Б. А. Старчикова
Центральная районная библиотека им. С. Ч. Самбуу,им. С. Ч. Самбуу
Межпоселенческая центральная библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Жерлыкская поселенческая библиотека им. И. Ф. Котляра,им. И. Ф. Котляра
Центральная библиотека им. А. А. Штевен,им. А. А. Штевен
Дунайская библиотека – филиал № 8 им. Э. Горборукова,им. Э. Горборукова
Межпоселенческая библиотека им. А. С. Пушкина г. Эртиля,им. А. С. Пушкина
Юношеская модельная библиотека им. А. С. Васильева № 1,им. А. С. Васильева
Центральная городская библиотека им. К. Т. Хлебникова,им. К. Т. Хлебникова
Районная библиотека им. А. И. Куприна с. Наровчат,им. А. И. Куприна
Центральная библиотека им. С. Сулеймановой,им. С. Сулеймановой
Зерноградская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Центральная детская библиотека № 46 им. И. З. Сурикова (филиал № 2),им. И. З. Сурикова
Петлинская сельская библиотека им. А. И. Поющева,им. А. И. Поющева
Центральная межпоселенческая библиотека им. А. Л. Алейнова,им. А. Л. Алейнова
Удомельская центральная библиотека им. Н. А. Зворыкина,им. Н. А. Зворыкина
Центральная библиотека им. А. Е. Ванеева с. Кослан,им. А. Е. Ванеева
Светлогорская центральная библиотека им. А. З. Дмитровского,им. А. З. Дмитровского
Центральная библиотека им. С. Ю. Володиной,им. С. Ю. Володиной
Библиотека № 26 им. Л. К. Татьяничевой,им. Л. К. Татьяничевой
Некоузская центральная библиотека им. А. В. Сухово-Кобылина,им. А. В. Сухово-Кобылина
Переславская городская библиотека им. А. Невского,им. А. Невского
Уканская сельская библиотека им. Ф. Васильева Ярского района,им. Ф. И. Васильева
Центральная городская библиотека им. А. И. Герцена,им. А. И. Герцена
Центральная библиотека им. А. Н. Островского,им. А. Н. Островского
Иркутская областная библиотека им. И. И. Молчанова-Сибирского,им. И. И. Молчанова-Сибирского
Городская библиотека им. Б. Костюковского,им. Б. Костюковского
Центральная библиотека им. Е. И. Аркадьева,им. Е. И. Аркадьева
Центральная районная библиотека им. О. М. Куваева пос. Свеча,им. О. М. Куваева пос. Свеча
Библиотека им. А. П. Чехова г. Новочеркасска,им. А. П. Чехова
Центральная детская библиотека им. А. С. Пушкина с. Большое Болдино,им. А. С. Пушкина
Библиотека им. Володи Ульянова,им. В. Ульянова
Библиотека им. К. Симонова г. Дзержинска,им. К. Симонова
Библиотека № 3 им. В. Г. Гордейчева,им. В. Г. Гордейчева
Центральная городская детская библиотека им. А. Гайдара,им. А. П. Гайдара
Библиотека им. Л. А. Никоновой г. Новокузнецка,им. Л. А. Никоновой
Центральная городская библиотека для молодежи им. А. А. Фета,им. А. А. Фета
Библиотека № 5 им. А. И. Герцена г. Перми,им. А. И. Герцена
Библиотека им. В. А. Закруткина г. Шахты,им. В. А. Закруткина
Красненская сельская библиотека-клуб им. Г. С. Малеванкиной,им. Г. С. Малеванкиной
Вологодская областная универсальная научная библиотека им. И. В. Бабушкина (здание № 2),им. И. В. Бабушкина
Библиотека им. Александра Ивановича Куприна г. Армавира,им. А. И. Куприна
Библиотека-читальня им. И. С. Тургенева (строение 1),им. И. С. Тургенева
Городская библиотека семейного чтения им. Дмитриева,им. Дмитриева
Центральная детская библиотека им. П. П. Бажова,им. П. П. Бажова
Детская библиотека им. М. М. Пришвина г. Переславля-Залесского,им. М. М. Пришвина
Центральная районная детская библиотека им. А. Пешкова,им. А. Пешкова
Красноярская городская библиотека им. Н. Гоголя,им. Н. В. Гоголя
Библиотека-филиал № 17 им. М. А. Шолохова,им. М. А. Шолохова
Библиотека им. И. С. Тургенева г. Орла,им. И. С. Тургенева
Библиотека им. Мерзликина – филиал № 4,им. Мерзликина
Центральная детская библиотека им. Аркадия Гайдара г. Ангарска,им. А. П. Гайдара
Библиотека № 19 им. И. С. Тургенева,им. И. С. Тургенева
Старотушкинская сельская библиотека им. Л. А. Гребнева,им. Л. А. Гребнева
Никольская поселенческая библиотека им. А. К. Филатова,им. А. К. Филатова
Центральная городская библиотека им. А. И. Чечулина,им. А. И. Чечулина
Бымовская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. Н. В. Волкова села Елового,им. Н. В. Волкова
Свердловская областная библиотека для детей и молодежи им. В. П. Крапивина,им. В. П. Крапивина
Детская библиотека им. Зои Космодемьянской,им. З. Космодемьянской
Красноярская городская библиотека им. И. Рождественского,им. И. Рождественского
Библиотека № 4 им. Е. А. Исаева г. Воронежа,им. Е. А. Исаева
Библиотека им. Д. С. Лихачева,им. Д. С. Лихачева
Библиотека-филиал № 15 им. М. С. Петровых,им. М. С. Петровых
Библиотека им. Н. Н. Муравьева-Амурского г. Владивостока,им. Н. Н. Муравьева-Амурского
Центральная районная библиотека им. А. П. Чехова г. Санкт-Петербурга,им. А. П. Чехова
Библиотека-филиал № 16 им. Хусаина Ямашева,им. Хусаина Ямашева
Библиотека им. А. С. Грибоедова г. Нижнего Новгорода,им. А. С. Грибоедова
Библиотека им. Н. К. Крупской г. Новосибирска,им. Н. К. Крупской
Центральная межпоселенческая библиотека им. Н. С. Устиновича,им. Н. С. Устиновича
Городская библиотека им. А. Т. Черкасова,им. А. Т. Черкасова
Специализированная библиотека № 22 им. М. Ю. Лермонтова г. Ульяновска,им. М. Ю. Лермонтова
Центральная районная библиотека им. Г. А. Пирожникова,им. Г. А. Пирожникова
Центральная библиотека им. М. К. Агашиной,им. М. К. Агашиной
Городская детская библиотека – филиал № 2 им. К. И. Чуковского,им. К. И. Чуковского
Михайловская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. Я. Свердлова,им. Я. Свердлова
Модельная библиотека им. В. В. Куйбышева г. Новосибирска,им. В. В. Куйбышева
Немская центральная библиотека им. М. И. Ожегова,им. М. И. Ожегова
Центральная библиотека им. К. А. Кислова п. Юрино,им. К. А. Кислова
Центральная библиотека им. К. Г. Паустовского,им. К. Г. Паустовского
Детская библиотека-филиал № 15 им. С. Я. Маршака,им. С. Я. Маршака
Библиотека № 16 им. Н. А. Добролюбова,им. Н. А. Добролюбова
Детская библиотека – филиал № 7 им. Г. А. Черкашина,им. Г. А. Черкашина
Новоусадская сельская библиотека-филиал им. В. П. Вахтерова,им. В. П. Вахтерова
Городская библиотека им. Ю. Р. Кисловского,им. Ю. Р. Кисловского
Модельная библиотека им. Яныбая Хамматова с. Серменево,им. Яныбая Хамматова
Красноярская городская библиотека им. Н. Добролюбова,им. Н. А. Добролюбова
Центральная городская библиотека им. Д. А. Фурманова,им. Д. А. Фурманова
Нижне-Сыповская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Никольская районная библиотека им. В. Беринга,им. В. Беринга
Валуйский филиал Белгородской библиотеки для слепых им. В. Я. Ерошенко,им. В. Я. Ерошенко
Хватовская сельская библиотека-филиал им. М. В. Шестерикова,им. М. В. Шестерикова
Библиотека № 14 им. М. Ю. Лермонтова г. Перми,им. М. Ю. Лермонтова
Воронежская областная универсальная научная библиотека им. И. С. Никитина на площади Ленина,им. И. С. Никитина
Библиотека № 6 им. А. М. Колчанова,им. А. М. Колчанова
Центральная городская библиотека им. М. Горького,им. М. Горького
Библиотека им. Ю. Ф. Федотова,им. Ю. Ф. Федотова
Карьерская сельская библиотека – филиал им. И. И. Куренкова,им. И. И. Куренкова
Центральная городская библиотека им. А. С. Пушкина г. Симферополя,им. А. С. Пушкина
Чистопольский филиал библиотеки для слепых им. Ш. К. Еникеева,им. Ш. К. Еникеева
Библиотека им. В. Шукшина,им. В. М. Шукшина
Железногорская межпоселенческая библиотека им. Н. М. Перовского,им. Н. М. Перовского
Районная детская библиотека им. С. В. Ягуповой,им. С. В. Ягуповой
Модельная библиотека № 32 им. Г. Н. Троепольского,им. Г. Н. Троепольского
Детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Красноярская городская детская библиотека им. О. Кошевого,им. О. Кошевого
Половодовская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная районная библиотека им. С. С. Васильева-Борогонского,им. С. С. Васильева-Борогонского
Филиал № 5 – библиотека им. К. А. Тимирязева г. Нижнего Новгорода,им. К. А. Тимирязева
Клинская центральная детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Центральная городская детская библиотека им. Н. К. Крупской,им. Н. К. Крупской
Библиотека № 1 им. М. Е. Евсевьева,им. М. Е. Евсевьева
Городская библиотека им. В. А. Замыслова,им. В. А. Замыслова
Цепочкинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная городская библиотека им. Е. Р. Дашковой,им. Е. Р. Дашковой
Библиотека им. А. Н. Островского г. Новошахтинска,им. А. Н. Островского
Центральная районная библиотека им. Б. Панина,им. Б. Панина
Библиотека им. А. С. Макаренко,им. А. С. Макаренко
Тавровская поселенческая библиотека им. Ю. Н. Говорухо-Отрока – филиал № 27,им. Ю. Н. Говорухо-Отрока
Октябрьская библиотека им. Н. П. Гурьяновой,им. Н. П. Гурьяновой
Межпоселенческая библиотека Касторенского района им. В. Г. Гордейчева,им. В. Г. Гордейчева
Шабуровская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотеки им. Маяковского – филиал № 1,им. В. В. Маяковского
Библиотека им. Л. Красина,им. Л. Красина
Детская библиотека им. А. С. Пушкина г. Иркутска,им. А. С. Пушкина
Рожкинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. Ф. Достоевского,им. Ф. М. Достоевского
Опаринская центральная библиотека им. Н. А. Яхлакова,им. Н. А. Яхлакова
Центральная детская библиотека им. А. С. Пушкина г. Сарова,им. А. С. Пушкина
"Городская библиотека им. Э. Н. Успенского, филиал № 6",им. Э. Н. Успенского
Библиотека им. А. В. Селиванова г. Сергиева Посада,им. А. В. Селиванова
Библиотека семейного чтения им. В. Бианки,им. В. В. Бианки
Центральная библиотека им. Виктора Гаврилина,им. В. Гаврилина
Детская библиотека им. Афанасия Никитина,им. Афанасия Никитина
Библиотека-филиал № 4 им. Г. К. Дерман,им. Г. К. Дерман
Библиотека им. А. Н. Радищева,им. А. Н. Радищева
Борисоглебская центральная городская библиотека им. В. Кина,им. В. Кина
Алапаевская центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Библиотека им. И. А. Гончарова,им. И. А. Гончарова
Областная детская библиотека им. И. А. Крылова,им. И. А. Крылова
Библиотека-филиал № 35 им. А. Ф. Пархаева пгт. Краснобродского,им. А. Ф. Пархаева
Верхнеуральская городская библиотека им. П. М. Кудряшева,им. П. М. Кудряшева
Викторопольская модельная библиотека – филиал № 1 им. Н. П. Таволжанского,им. Н. П. Таволжанского
Библиотека-филиал № 12 им. А. Барто,им. А. Л. Барто
Библиотека-филиал № 4 им. А. С. Пушкина,им. А. С. Пушкина
Иванцевская библиотека-филиал им. А. М. Бастракова,им. А. М. Бастракова
Центральная детская библиотека им. А. М. Горького г. Нижнего Новгорода,им. А. М. Горького
Центральная городская детская библиотека им. А. П. Гайдара,им. А. П. Гайдара
Библиотека им. В. Шишкова,им. В. Я. Шишкова
"Библиотека им. Н. А. Некрасова, филиал № 5 г. Нижнего Новгорода",им. Н. А. Некрасова
Центральная городская библиотека им. А. С. Пушкина города Туапсе,им. А. С. Пушкина
Центральная районная библиотека им. С. О. Тамба,им. С. О. Тамба
Центральная детская библиотека им. Н. Островского,им. Н. А. Островского
Центральная городская библиотека им. Н. Байтерякова,им. Н. Байтерякова
Библиотека № 90 им. А. С. Неверова г. Москвы,им. А. С. Неверова
Центральная библиотека им. князя Н. Д. Долгорукова,им. князя Н. Д. Долгорукова
Красноярская городская библиотека им. А. М. Горького,им. А. М. Горького
Краеведческая библиотека им. А. Ф. Землянского,им. А. Ф. Землянского
Центральная библиотека им. Александра Ероховца,им. А. Ероховца
Национальная библиотека им. А. С. Пушкина Республики Тыва,им. А. С. Пушкина
Центральная городская библиотека «Smart-библиотека им. Н. Д. Неустроева»,им. Н. Д. Неустроева
Городская библиотека № 1 им. А. Н. Чепурова,им. А. Н. Чепурова
Центральная городская библиотека им. А. И. Куприна,им. А. И. Куприна
Центральная районная библиотека им. И. П. Мордвинова,им. И. П. Мордвинова
Черкизовская библиотека им. Д. Кедрина,им. Д. Кедрина
Детская библиотека им. А. П. Гайдара г. Курган,им. А. П. Гайдара
Филипповская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Решоткинская сельская библиотека им. Ю. П. Артюхина,им. Ю. П. Артюхина
Центральная районная библиотека им. А. С. Пушкина г. Санкт-Петербурга,им. А. С. Пушкина
Центральная библиотека им. Героя Советского Союза А. Н. Пайкова п. Воскресенского,им. А. Н. Пайкова
Центральная городская библиотека им. А. С. Пушкина,им. А. С. Пушкина
Городская детская библиотека-филиал № 1 им. С. Я. Маршака,им. С. Я. Маршака
Афипсипская сельская модельная библиотека им. К. Х. Жанэ,им. К. Х. Жанэ
Центральная городская библиотека им. Ф. И. Тютчева,им. Ф. И. Тютчева
Филиал № 11 - библиотека им. А. А. Ахматовой г. Нижнего Новгорода,им. А. А. Ахматовой
Качканарская городская библиотека им. Ф. Т. Селянина,им. Ф. Т. Селянина
Центральная районная библиотека им. Н. В. Гоголя г. Санкт-Петербурга,им. Н. В. Гоголя
Геленджикский филиал Краснодарской библиотеки для слепых им. А. П. Чехова,им. А. П. Чехова
Библиотека-филиал № 24 им. В. М. Шукшина,им. В. М. Шукшина
Молодежная библиотека им. И. Тургенева – филиал № 18,им. И. С. Тургенева
Библиотека им. Л. Н. Толстого г. Дзержинска,им. Л. Н. Толстого
Центральная детская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. В. Маяковского,им. В. В. Маяковского
Центральная детская библиотека № 46 им. И. З. Сурикова – филиал № 3,им. И. З. Сурикова
Центральная библиотека им. К. Г. Паустовского п. Базарный Сызган,им. К. Г. Паустовского
Библиотека им. Д. С. Лихачёва г. Кирово-Чепецка,им. Д. С. Лихачёва
Городская библиотека-филиал № 7 им. Ф. В. Гладкова,им. Ф. В. Гладкова
Библиотека № 5 им. Николая Рубцова г. Санкт-Петербурга,им. Н. М. Рубцова
Центральная детская библиотека им. А. П. Чехова г. Лесосибирска,им. А. П. Чехова
Хоринская центральная межпоселенческая библиотека им. Д. З. Жалсараева,им. Д. З. Жалсараева
Библиотека им. Н. Некрасова г. Кургана,им. Н. А. Некрасова
Библиотека им. М. А. Шолохова г. Шахты,им. М. А. Шолохова
Грайворонская центральная районная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Библиотека им. М. Горького,им. М. Горького
Центральная городская библиотека им. Ф. М. Достоевского,им. Ф. М. Достоевского
Центральная библиотека семейного чтения им. Н. Войновской,им. Н. Войновской
Городская библиотека – филиал № 1 им. М. Бурангулова,им. М. Бурангулова
Библиотека-филиал № 13 им. Н. М. Овчинникова,им. Н. М. Овчинникова
Красноярская городская библиотека им. Н. Чернышевского,им. Н. Чернышевского
Городская библиотека им. А. Н. Ткалуна,им. А. Н. Ткалуна
Чернавская модельная библиотека им. П. Н. Шубина,им. П. Н. Шубина
Детская библиотека № 6 им. В. Г. Короленко,им. В. Г. Короленко
Библиотека им. М. Горького г. Лесосибирска,им. М. Горького
Молодежная библиотека им. К. Чуковского – филиал № 1,им. К. И. Чуковского
Белоярская библиотека им. Г. Г. Кушникова,им. Г. Г. Кушникова
Центральная библиотека им. В. В. Розанова г. Сергиев Посад,им. В. В. Розанова
Молодежная библиотека – филиал № 18 им. М. Горького,им. М. Горького
Сардыкская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека № 7 им. Л. Н. Толстого,им. Л. Н. Толстого
Библиотека «Родник» им. С. А. Золотцева,им. С. А. Золотцева
Барсаевская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Городская библиотека – филиал № 1 им. Маяковского,им. В. В. Маяковского
Центральная городская библиотека им. А. С. Пушкина г. Кострома,им. А. С. Пушкина
Библиотека им. Г. С. Ларковича № 5,им. Г. С. Ларковича
Библиотека № 35 им. Б. И. Стукалина,им. Б. И. Стукалина
Центральная районная библиотека им. А. С. Пушкина г. Сухой Лог,им. А. С. Пушкина
Центральная муниципальная библиотека им. Н. А. Некрасова,им. Н. А. Некрасова
Библиотека-филиал № 3 им. И. П. Котляревского,им. И. П. Котляревского
Детская библиотека им. С. Я. Маршака г. Заволжье,им. С. Я. Маршака
Центральная городская библиотека им. Н. М. Ядринцева,им. Н. М. Ядринцева
Ростовская городская библиотека им. А. А. Титова,им. А. А. Титова
Библиотека-филиал № 16 «Зал семейного чтения им. А. П. Гайдара»,им. А. П. Гайдара
Частинская центральная районная библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. М. Светлова – литературно-эстетический центр,им. М. Светлова
Специализированная детская библиотека № 25 им. Б. В. Аржанцева,им. Б. В. Аржанцева
Саратовская областная библиотека для детей и юношества им. А. С. Пушкина,им. А. С. Пушкина
Центральная библиотека № 15 им. В. О. Ключевского,им. В. О. Ключевского
Воронежская областная специальная библиотека для слепых им. В. Г. Короленко,им. В. Г. Короленко
Карпогорская центральная библиотека им. Ф. А. Абрамова,им. Ф. А. Абрамова
"Городская библиотека, филиал № 2 им. В. И. Марченко",им. В. И. Марченко
Нижнепенская модельная библиотека-филиал № 21 им. А. Д. Алексейченко,им. А. Д. Алексейченко
Туртапинская сельская библиотека им. В. Л. Силаева,им. В. Л. Силаева
Библиотека Петровского сельского поселения им. А. С. Пушкина,им. А. С. Пушкина
Библиотека № 2 им. А. В. Кольцова,им. А. В. Кольцова
Юрьевецкая городская библиотека им. Ф. С. Грибунина,им. Ф. С. Грибунина
Библиотека-филиал № 8 им. В. В. Парамонова г. Воткинск,им. В. В. Парамонова
Библиотека им. К. Симонова г. Нижнего Новгорода,им. К. Симонова
Детская библиотека им. Л. А. Кассиля,им. Л. А. Кассиля
Центральная городская детская библиотека им. С. Я. Маршака,им. С. Я. Маршака
Детский информационный центр им. А. Гайдара,им. А. П. Гайдара
Центральная районная детская библиотека им. И. Крылова г. Нижнего Новгорода,им. И. А. Крылова
Филиал № 7 – библиотека им. Ф. Э. Дзержинского г. Нижнего Новгорода,им. Ф. Э. Дзержинского
Библиотека-филиал № 21 им. А. И. Куприна,им. А. И. Куприна
Библиотека им. В. И. Даля,им. В. И. Даля
Библиотека им. Н. К. Крупской г. Краснодара,им. Н. К. Крупской
Городская центральная библиотека им. Г. Н. Айги,им. Г. Н. Айги
Библиотека № 13 им. В. А. Вонлярлярского,им. В. А. Вонлярлярского
Библиотека им. Л. Толстого г. Нижний Новгород,им. Л. Н. Толстого
Библиотека № 11 им. Ф. Ф. Павленкова с. Зипуново,им. Ф. Ф. Павленкова
Бахчисарайская центральная районная библиотека им. А.С. Пушкина,им. А. С. Пушкина
Центральная городская библиотека им. Е. И. Носова,им. Е. И. Носова
Детская библиотека им. Виталия Бианки,им. В. В. Бианки
Красноярская городская библиотека им. И. Тургенева,им. И. С. Тургенева
Центральная районная детская библиотека им. А. М. Горького г. Нижнего Новгорода,им. А. М. Горького
Библиотека семейного чтения им. А. Н. Кузнецова г. Орлова,им. А. Н. Кузнецова
Вильвенская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека – литературный музей им. Н. Н. Блинова,им. Н. Н. Блинова
"Библиотека № 23 им. В. В. Розанова, г. Кострома",им. В. В. Розанова
Библиотека им. Б. Корнилова г. Нижнего Новгорода,им. Б. Корнилова
Библиотека-музей № 24 им. П. Д. Пономарева,им. П. Д. Пономарева
Центральная детская библиотека им. А. П. Гайдара г. Каменск-Шахтинского,им. А. П. Гайдара
Павловская центральная детская библиотека им. Ф. И. Панферова,им. Ф. И. Панферова
Центральная городская библиотека им. Э. Э. Баллиона,им. Э. Э. Баллиона
Межпоселенческая центральная библиотека им. А. Т. Черкасова,им. А. Т. Черкасова
Детская библиотека им. Н. Н. Носова,им. Н. Н. Носова
Детская библиотека-филиал им. А. П. Бринского,им. А. П. Бринского
Библиотека № 4 им. Г. К. Сапронова г. Иркутска,им. Г. К. Сапронова
Библиотека-репозиторий (Никольская) МЦБС им. М.Ю. Лермонтова,им. М. Ю. Лермонтова
Октябрьская сельская библиотека-филиал им. И. А. Наговицына,им. И. А. Наговицына
Центральная городская библиотека им. Ф. А. Семенова г. Курска,им. Ф. А. Семенова
Библиотека № 8 им. Ф. Ф. Павленкова с. Вассята,им. Ф. Ф. Павленкова
Центральная городская библиотека им. Ф. Ф. Павленкова г. Верхняя Тура,им. Ф. Ф. Павленкова
Красноярская городская библиотека им. М. Светлова,им. М. Светлова
Яйвинская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Большереченская центральная районная библиотека им. В. А. Макарова,им. В. А. Макарова
Библиотека-филиал № 39 им. С. Скитальца,им. С. Скитальца
Свердловская областная библиотека для детей и молодежи им. В. П. Крапивина на ул. Советской,им. В. П. Крапивина
Библиотека им. А. М. Горького – филиал № 7 г. Краснодара,им. А. М. Горького
Библиотека № 1 им. Валерия Алексеева,им. В. Алексеева
Библиотека семейного чтения им. А. Г. Николаева г. Новочебоксарска,им. А. Г. Николаева
Яшкинская районная библиотека им. А. П. Саулова,им. А. П. Саулова
Курская библиотека слепых им. В. С. Алёхина,им. В. С. Алёхина
Специализированная библиотека № 4 им. Е. А. Евтушенко,им. Е. А. Евтушенко
Библиотека им. М. К. Волдиной с. Казым,им. М. К. Волдиной
Библиотека-филиал им. Л. Н. Толстого,им. Л. Н. Толстого
Большенагаткинская районная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Межпоселенческая детская библиотека им. А. Л. Барто г. Иланского,им. А. Л. Барто
Районная публичная библиотека им. А. Герцена,им. А. И. Герцена
Библиотека № 4 им. М. Соколова,им. М. Соколова
Центральная библиотека № 70 им. М. А. Шолохова,им. М. А. Шолохова
Детско-юношеская библиотека им. С. В. Михалкова,им. С. В. Михалкова
Библиотека им. братьев Стругацких,им. братьев Стругацких
Жешартская библиотека им. С. А. Попова,им. С. А. Попова
Центральная детская библиотека им. А. Гайдара,им. А. П. Гайдара
Центральная районная библиотека им. А. С. Пушкина п. Сокольское,им. А. С. Пушкина
Центральная детская библиотека им. А. Г. Казаковой пгт. Емельяново,им. А. Г. Казаковой
Библиотека № 183 им. Данте Алигьери,им. Данте Алигьери
Пишнурская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Сорвижская сельская библиотека им. Т. И. Смертиной,им. Т. И. Смертиной
Библиотека им. П. Хузангая (филиал № 20),им. П. Хузангая
Белоевская центральная библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Библиотека им. И. М. Киселева,им. И. М. Киселева
Центральная детская библиотека им. Б. С. Рябинина,им. Б. С. Рябинина
Центральная городская библиотека им. Гоголя,им. Н. В. Гоголя
Опочецкая районная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Тамбовская областная универсальная научная библиотека им. А. С. Пушкина,им. А. С. Пушкина
Библиотека № 7 им. В. А. Закруткина,им. В. А. Закруткина
Кувинская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Детская библиотека с. им. Полины Осипенко,им. Полины Осипенко
Палевицкая библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
"Детская библиотека им. Х. Степанова, филиал № 11",им. Х. Степанова
Дивногорская городская библиотека им. В. Г. Распутина,им. В. Г. Распутина
Детская библиотека им. К. И. Чуковского,им. К. И. Чуковского
Кобяйская улусная библиотека им. Т. Е. Сметанина,им. Т. Е. Сметанина
Центральная городская детская библиотека им. Гайдара,им. А. П. Гайдара
Усть-Телесская сельская библиотека им. Ф. Ф. Павленкова,им. Ф. Ф. Павленкова
Центральная детская библиотека им. Гайдара г. Зеленодольска,им. А. П. Гайдара
Библиотека-филиал им. М. В. Ломоносова г. Нижнего Новгорода,им. М. В. Ломоносова
Центральная городская публичная библиотека им. В. Г. Белинского,им. В. Г. Белинского
Центральная городская библиотека им. А. И. Солженицына,им. А. И. Солженицына
Библиотека им. М. Ю. Лермонтова,им. М. Ю. Лермонтова
Филиал № 10 - библиотека им. М. И. Цветаевой,им. М. И. Цветаевой
Библиотека им. Ю. Д. Дмитриева г. Новосибирска,им. Ю. Д. Дмитриева
Межпоселенческая центральная районная библиотека им. И. Г. Зиненко,им. И. Г. Зиненко
Центральная детская библиотека им. Н. Н. Носова г. Тутаева,им. Н. Н. Носова
