UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
0d7d0a37-795d-4ada-b8b5-30efe87c1b98,Book 1,Hypernotii,char-offset:163077,PLACE,,,,,NOT_IDENTIFIABLE,,,,
0767386e-6ec4-41fa-870d-b51e99f96052,Book 6,Syracuse,char-offset:30114,PLACE,http://pleiades.stoa.org/places/462503,37.05963,15.29382,settlement,VERIFIED,,,,
1dec4ba7-78eb-43dc-8b4b-fb51b6e11043,Book 5,Venafrum,char-offset:89037,PLACE,http://pleiades.stoa.org/places/433185,41.4845555,14.0461111,settlement,VERIFIED,,,,
e08a3694-a196-4de5-8f10-bda0b287c673,Book 5,Venafrum,char-offset:76008,PLACE,http://pleiades.stoa.org/places/433185,41.4845555,14.0461111,settlement,VERIFIED,,,,
7d3a8a06-e04a-4bc4-b134-fd9b1e3c9c64,Book 5,Apiola,char-offset:56993,PLACE,http://pleiades.stoa.org/places/438677,,,unlocated,VERIFIED,,,,
17ce3086-b544-4c31-baf2-cbcef107999a,Book 1,Erythræan Sea,char-offset:147459,PLACE,http://pleiades.stoa.org/places/39290,19,39.5,water-open,VERIFIED,,,,
ff8faaa9-8d32-456b-8ace-b50aa07e4d3d,Book 1,Cyprus,char-offset:103583,PLACE,http://pleiades.stoa.org/places/707498,35.040883529816504,33.27533716422018,island,VERIFIED,,,,
a2ae14ea-a233-4a8b-b4bc-08203d5e016f,Book 8,Arcadia,char-offset:151332,PLACE,http://pleiades.stoa.org/places/442433,41.1608,15.33911,settlement,UNVERIFIED,,,,
8e2cd7e0-94d5-459b-b676-bde1f82bc7a5,Book 1,Thisbe,char-offset:38834,PLACE,http://pleiades.stoa.org/places/541146,38.259722,22.96835,"church,settlement",VERIFIED,,,,
4e3e08b2-f0c7-47ea-9bd1-a1150f8b3f31,Book 8,Cyllene,char-offset:149343,PLACE,,,,,UNVERIFIED,,,,
e59f1a12-161a-4250-afaa-c10c55ea1aa8,Book 8,Elis,char-offset:67567,PLACE,http://pleiades.stoa.org/places/570220,37.89131,21.37493,"theatre,settlement",UNVERIFIED,,,,
e4179b0e-a0b7-4a63-9370-e3f464a0d2c8,Book 5,Alps,char-offset:82332,PLACE,http://pleiades.stoa.org/places/783,43.74465275,7.40183905,mountain,VERIFIED,,,,
9959f803-6e47-4732-8cfe-f0e850de0b22,Book 8,Hormina,char-offset:25050,PLACE,http://pleiades.stoa.org/places/570296,37.890278,21.141944,"mountain,fort",UNVERIFIED,,,,
c3850085-833b-4f7d-84b3-812ffb1471fc,Book 1,Thera,char-offset:151753,PLACE,http://pleiades.stoa.org/places/599973,36.36399,25.478129,"island,settlement",VERIFIED,,,,
0ef91087-8c83-45c2-b529-0ebde7ae5726,Book 5,Apuli,char-offset:86752,PLACE,http://pleiades.stoa.org/places/442468,41.75,15.25,people,VERIFIED,,,,
6f450ffe-a220-4dfb-a39b-964bb30b4a60,Book 5,Rome,char-offset:51358,PLACE,http://pleiades.stoa.org/places/423025,41.89262,12.4843457,"settlement,urban",VERIFIED,,,,
99bab357-3da7-4d6c-bc4b-b95ab002ed7e,Book 1,isthmus,char-offset:143194,PLACE,http://pleiades.stoa.org/places/570316,37.9158514,22.992664,"sanctuary,temple-2",VERIFIED,,,,
fa693844-9043-42f2-ad04-31c7c07eaa3b,Book 2,Libya,char-offset:152949,PLACE,http://pleiades.stoa.org/places/991375,28.91884175132798,22.08409203276879,province,VERIFIED,,,,
76e42eb8-0604-4f11-b708-d72e12d33e0a,Book 5,Agro Piceno,char-offset:336,PLACE,http://pleiades.stoa.org/places/413135,43.1611,13.71682,settlement,VERIFIED,,,,
227e135f-984d-4e68-a6b9-c14fd09692b9,Book 6,Mount Ætna,char-offset:54187,PLACE,http://pleiades.stoa.org/places/462077,37.751113,14.9958286,mountain,VERIFIED,,,,
35b6f5b6-b88b-4a26-85f4-aecdb22f240d,Book 1,Thebes,char-offset:104364,PLACE,http://pleiades.stoa.org/places/786017,25.70247,32.65285,"settlement,temple-2",VERIFIED,,,,
639edd7c-5d84-422b-9fc2-cbb7fb446146,Book 8,Peloponnesus,char-offset:12964,PLACE,http://sws.geonames.org/9062330,,,,UNVERIFIED,,,,
89c782f5-6c0b-4c4d-9433-9d314a6207e2,Book 5,Italy,char-offset:5601,PLACE,http://pleiades.stoa.org/places/992073,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
b783d511-5599-4c69-82db-5909520c4bc5,Book 2,Egypt,char-offset:46313,PLACE,http://pleiades.stoa.org/places/981503,19.211408766666665,30.567329633333333,region,VERIFIED,,,,
2857661a-066b-4961-815e-6f16e0b02ee4,Book 1,Messenian,char-offset:123180,PLACE,http://pleiades.stoa.org/places/570480,37.06945533333334,21.9323415,region,VERIFIED,,,,
50476141-314e-4039-ae1d-78a221e59c25,Book 1,Lemnos,char-offset:107266,PLACE,http://pleiades.stoa.org/places/550693,39.916667,25.25,island,VERIFIED,,,,
b51bb6d3-591f-4bf5-95af-56025f4e210e,Book 8,Peloponnesus,char-offset:4498,PLACE,http://sws.geonames.org/9062330,,,,UNVERIFIED,,,,
6118edf0-06df-48c6-ab7e-dff512eb9a8e,Book 3,Ebro,char-offset:66411,PLACE,http://pleiades.stoa.org/places/246418,40.72,0.863056,river,VERIFIED,,,,
290b2fee-32a9-450f-a366-85f870006a64,Book 5,Rome,char-offset:50684,PLACE,http://pleiades.stoa.org/places/423025,41.89262,12.4843457,"settlement,urban",VERIFIED,,,,
e9699edc-83df-4416-8d1c-6e3b23c4f479,Book 3,Tartessis,char-offset:32824,PLACE,http://pleiades.stoa.org/places/256468,36.93672,-6.4119,"unlocated,settlement,port",VERIFIED,,,,
