UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMENTS,GROUP_ID,GROUP_ORDER
a79ceb82-18c2-4655-8ecd-e3dcba4bf9b4,Book 5,Tyrrhenia,char-offset:32217,PLACE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,-0750/0640,42.42102874792005,11.752744124826158,region,VERIFIED,,,,
85e0b53c-0dae-4458-b14c-aacb857f6b7c,Book 2,Susa,char-offset:50676,PLACE,http://pleiades.stoa.org/places/912936,"Susa/Seleucia ad Eulaeum|Shushan/Shusha/Susa/Seleucia ad Eulaeum/Shush-i er-Kar, Shush",-6200/2000,32.19202,48.24854,settlement,VERIFIED,,,,
776fee2d-4a7a-442f-b37e-011d3a7fc0b5,Book 13,Ida,char-offset:7777,PLACE,,,,,,,UNVERIFIED,,,,
c621841d-88a0-470a-bf62-bfc2b3cae454,Book 6,Alæsa,char-offset:26913,PLACE,http://pleiades.stoa.org/places/462225,"Halaesa|Piano Fontane|Piano Fontane, Tusa|Halaesa, Castel di Tusa",-0330/2100,37.98417,14.22787,"villa,settlement",VERIFIED,,,,
75597257-f4af-4be4-8ff4-309e3eb2c3b1,Book 2,Persia,char-offset:32905,PLACE,,,,,,,VERIFIED,,,,
c0e2522a-fb4d-41a1-9b8b-0712ba5761bb,Book 2,Caspian Gates,char-offset:47877,PLACE,http://pleiades.stoa.org/places/903004,"Caspiae Portae?|Caspiae Portae?, Sar Darreh pass, Aivaneki",-0550/0300,35.27617,52.1696,pass,VERIFIED,,,,
53871b55-139c-4383-9f7f-b76a4ddaa712,Book 5,Strait of Sicily,char-offset:1759,PLACE,http://pleiades.stoa.org/places/462494,Siculum Fretum,-0330/2100,38.260268,15.660384,water-open,VERIFIED,,,,
22a8ba1b-d375-40b5-8201-67088e1758da,Book 13,Tmolus,char-offset:100625,PLACE,,,,,,,UNVERIFIED,,,,
9b05d04e-622f-46c4-bce2-5b498ccfce15,Book 2,India,char-offset:45404,PLACE,http://pleiades.stoa.org/places/50004,India,-0330/0300,22.5,77.5,region,VERIFIED,,,,
1ad52ce2-e072-4f0c-929e-b95584a9fc95,Book 2,Mysia,char-offset:179781,PLACE,http://pleiades.stoa.org/places/550759,Mysia,-0750/0640,39.13112815791898,27.184419878077563,labeled feature,VERIFIED,,,,
2ffa1b63-7f5b-4500-9e71-f164bf6146b3,Book 8,Buprasium,char-offset:22483,PLACE,http://pleiades.stoa.org/places/573157,Buprasion,-0030/0300,,,"unlocated,settlement",UNVERIFIED,,,,
46074d64-55c2-45f4-aed6-090063fe7875,Book 8,Pylus,char-offset:14148,PLACE,,,,,,,UNVERIFIED,,,,
1b9a788d-6979-448b-88e4-b352da12ec5c,Book 2,Isthmus,char-offset:45961,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
fefbfc1f-97c9-44f4-bf0f-5002ff241fa5,Book 13,Antandria,char-offset:63796,PLACE,http://sws.geonames.org/1070183,,,,,,UNVERIFIED,,,,
456593e0-4d3e-4bd3-8342-e23db06d61ba,Book 3,Sacred Promontory,char-offset:40716,PLACE,http://pleiades.stoa.org/places/256410,"Sacrum Pr.|Sacrum Pr., Cabo de São Vicente",-0550/0640,37.02295,-8.9964,cape,VERIFIED,,,,
683d0c98-5efc-4f0c-9b84-bb3e3c858a5d,Book 6,Eryx,char-offset:47123,PLACE,http://pleiades.stoa.org/places/462202,"Eryx M.|Eryx|Eryx, Erice|Eryx Mons, Erice",-0550/2100,38.03528,12.5919,"settlement,mountain",VERIFIED,,,,
bd5113a8-a007-4530-aa4b-3f83c74c94ec,Book 8,Olympia,char-offset:121590,PLACE,,,,,,,UNVERIFIED,,,,
230943ab-c320-4030-883d-8682f33c46a9,Book 6,Catana,char-offset:42601,PLACE,http://pleiades.stoa.org/places/462270,"Katane/Catina|Katane/Catina, Catania",-0750/2100,37.5024825,15.0878345,settlement,VERIFIED,,,,
cf7d5c9e-2ff8-439e-a2b1-8d64f3e9347f,Book 6,Italy,char-offset:7158,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
14d7a32f-c379-4034-ab36-e0735345dbf3,Book 2,Cinnamon,char-offset:72799,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
901f67f3-57d1-4f4d-9fd1-820fd2a98e5d,Book 8,Ægialus,char-offset:133394,PLACE,,,,,,,UNVERIFIED,,,,
bdb03653-813c-4bff-8b3a-cdf9823d645a,Book 2,Bagadania,char-offset:15891,PLACE,http://pleiades.stoa.org/places/628942,Bagadania,-0030/0640,38.25,35.75,labeled feature,VERIFIED,,,,
ba890520-d7a4-451d-a58e-8024a8710717,Book 5,Apennines,char-offset:45765,PLACE,http://pleiades.stoa.org/places/815,Ap(p)enninus M.,-0030/2100,42.7882917,12.987321533333336,mountain,VERIFIED,,,,
a1ff2b3f-6418-42e2-9705-8823b58ff513,Book 3,Osca,char-offset:67492,PLACE,http://pleiades.stoa.org/places/246539,"Osca/Urbs Victrix|Osca/Urbs Victrix, Huesca|Huesca",-0330/2100,42.14045,-0.40816,settlement,VERIFIED,,,,
11cd30ad-3a31-45b0-8cfe-e04965474030,Book 6,Rhegians,char-offset:24664,PLACE,http://pleiades.stoa.org/places/452416,"Area sacra Griso-Laboccetta, Reggio di Calabria|Rhegion/Regium|Rhegion/Regium, Reggio di Calabria|Reggio Calabria",-0750/2100,38.111146,15.649244,"sanctuary,settlement,architecturalcomplex",VERIFIED,,,,
4bc09bec-1d2f-4901-9369-4a6334d05692,Book 3,Tartessis,char-offset:32944,PLACE,http://pleiades.stoa.org/places/256468,"Tartessos|Tartessos/Tartessus, Tartessos",-0750/-0030,36.93672,-6.4119,"unlocated,settlement,port",VERIFIED,,,,
80f0af5f-1897-4e76-9eb8-78d3e854850c,Book 4,Keltæ,char-offset:2229,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
3308cb59-f0dc-4d3f-859c-fd7b594a3aaa,Book 8,Thyrides,char-offset:81169,PLACE,http://pleiades.stoa.org/places/349636,Theriodes,-0750/0640,,,unlocated,UNVERIFIED,,,,
1f3e2805-c928-4209-b06e-a14b596b2228,Book 6,Peloponnesus,char-offset:14629,PLACE,http://pleiades.stoa.org/places/570577,Peloponnesus/Peloponnesos/Peloponnese,-0550/0640,37.25289777692308,22.312752688461543,"peninsula,region",VERIFIED,,,,
4f65380a-a576-43c0-9b06-34d0e51305d2,Book 8,Greece,char-offset:57972,PLACE,http://sws.geonames.org/4800037,,,,,,UNVERIFIED,,,,
cb1b9726-e9a0-4c1f-8204-67b892dafbfd,Book 9,Thessaly,char-offset:138806,PLACE,http://sws.geonames.org/6164831,Thessalon,,46.25006,-83.5666,,UNVERIFIED,,,,
71111665-a779-4d6c-b6e7-3799e081d8ad,Book 3,Pyrenees,char-offset:2314,PLACE,http://pleiades.stoa.org/places/246582,"Pyrenaei (mountains)|Pyrenaei Mons, Pyrenees Mts.",-0330/2100,42.67,1,mountain,VERIFIED,,,,
2385c46a-bcdc-4959-bec4-ca7c3d8517f6,Book 5,Italy,char-offset:16421,PLACE,http://pleiades.stoa.org/places/992073,Italia (Diocese),,43.55087092641273,11.9539517875577,province,VERIFIED,,,,
8928046f-9395-4767-8967-99b9dd3b442d,Book 8,Greece,char-offset:5318,PLACE,http://sws.geonames.org/4800037,,,,,,UNVERIFIED,,,,
0fcf8871-da2c-4925-ab2c-c9474c10d2a8,Book 4,GAUL,char-offset:136,PLACE,http://pleiades.stoa.org/places/992075,Galliae,,47.5,-2.5,province,VERIFIED,,,,
d056a459-9844-4db0-a072-0982bd4e08f5,Book 9,Thessaly,char-offset:102467,PLACE,http://sws.geonames.org/6164831,Thessalon,,46.25006,-83.5666,,UNVERIFIED,,,,
557c1d62-2475-40cc-8511-31f35355ea69,Book 2,India,char-offset:19287,PLACE,http://pleiades.stoa.org/places/50004,India,-0330/0300,22.5,77.5,region,VERIFIED,,,,
26fdfa18-b7d1-4a1e-be9f-d2e02f99ac59,Book 5,Samnitic nation,char-offset:84620,PLACE,http://pleiades.stoa.org/places/442765,Samnites,-0750/-0030,41.25,14.75,people,VERIFIED,,,,
b0bad8fa-57fd-4759-99ea-77cf035a15e9,Book 4,Rhone,char-offset:40906,PLACE,http://pleiades.stoa.org/places/148168,"Rhodanus (river)|Rhodanus, Rhône (Le)",-0550/0640,43.33167,4.84861,river,VERIFIED,,,,
64965d8c-a386-4b99-9493-3fea92608308,Book 8,Buprasium,char-offset:146253,PLACE,http://pleiades.stoa.org/places/573157,Buprasion,-0030/0300,,,"unlocated,settlement",UNVERIFIED,,,,
469261cd-902b-4a22-920b-01ac59dfb33f,Book 4,Forum Julium,char-offset:20912,PLACE,http://pleiades.stoa.org/places/157836,"Théâtre romain, Fréjus|Ancien port romain, Fréjus|Thermes antiques, Fréjus|Porte des Gaules, Fréjus|Amphithéâtre de Fréjus|Col. Forum Iulii|Col. Forum Iulii, Fréjus|Aqueduc de Mons à Fréjus|Fréjus",-0330/2100,43.436934803,6.73812747002,"amphitheatre,theatre,port,city-gate,settlement",VERIFIED,,,,
7acdc4ad-8a1b-40cf-8dba-6a88cadd47f6,Book 4,Norici,char-offset:85412,PLACE,http://pleiades.stoa.org/places/187490,Noricum (region),-0030/0640,46.5,12.5,province,VERIFIED,,,,
40eeb971-4324-43a9-a48d-f6689d9858b3,Book 3,Castlon,char-offset:31737,PLACE,,,,,,,NOT_IDENTIFIABLE,,,,
95647315-ef74-47fc-86c5-3d6247419c84,Book 5,Æthalia,char-offset:41723,PLACE,http://pleiades.stoa.org/places/403222,"Ilva/Aethalia (island)|Ilva Ins./Aethalia Ins., Elba",-0030/2100,42.761833,10.240833,island,VERIFIED,,,,
b6f6d499-2c61-408b-9aa6-26e99f3f3703,Book 8,Epeii,char-offset:13873,PLACE,,,,,,,UNVERIFIED,,,,
6a3903e4-6d3d-4ee5-82a6-9206fe308b31,Book 6,Syrtes,char-offset:29487,PLACE,http://pleiades.stoa.org/places/344491,Syrtis Maior,,31.5,18,water-open,VERIFIED,,,,
